,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentType,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address
2178,844,Neudorfrain,as1,Unterkulm,1,at6,FALSE,FALSE,FALSE,rt432,2625499.0,1240428.0,SO,2406,2016,1,aw401,6,47.31423511128946,7.775866137215679,POINT (7.775866137215679 47.31423511128946),1240428.0,2650648.0,10109271.0,"47.31423511128946,7.775866137215679","Hauptstrasse, Oberbuchsiten, Bezirk Gäu, Amtei Thal-Gäu, Solothurn, 4625, Schweiz/Suisse/Svizzera/Svizra"
2179,845,Neuegglehn,as1,Rüegsau,1,at3,FALSE,FALSE,TRUE,rt432,2690518.0,1210209.0,SZ,1372,2015,9,aw402,6,47.03673932904676,8.629632113219595,POINT (8.629632113219595 47.03673932904676),1210209.0,2621723.0,10110127.0,"47.03673932904676,8.629632113219595","Engiberg, Steinerstrasse, Schwyz, 6422, Schweiz/Suisse/Svizzera/Svizra"
2180,846,Neueggplatz,as1,Erlen,1,at5,FALSE,TRUE,FALSE,rt433,2609806.0,1267646.0,BS,2701,2015,5,aw405,12,47.55945416273438,7.568910853107407,POINT (7.568910853107407 47.55945416273438),1267646.0,2733952.0,10234919.0,"47.55945416273438,7.568910853107407","42, Sierenzerstrasse, Iselin, Grossbasel, Basel, Basel-Stadt, 4055, Schweiz/Suisse/Svizzera/Svizra"
2181,847,Neuengasse / Rue Neuve,as1,Biel/Bienne,1,at8,TRUE,FALSE,FALSE,rt432,2652869.0,1220787.0,LU,1094,2020,5,aw403,19,47.1359542956857,8.135531598407681,POINT (8.135531598407681 47.1359542956857),1220787.0,2585253.0,10007037.0,"47.1359542956857,8.135531598407681","11, Kantonsstrasse, Rüteli, Nottwil, Luzern, 6207, Schweiz/Suisse/Svizzera/Svizra"
2182,848,Neuer Salzweg,as1,Zürich,1,at0,FALSE,FALSE,TRUE,rt433,2676255.0,1248868.0,ZH,247,2013,11,aw405,18,47.386228673844315,8.448532895189516,POINT (8.448532895189516 47.38622867384431),1248868.0,2677334.0,10249204.0,"47.386228673844315,8.448532895189516","Uitikonerstrasse, Schlieren, Bezirk Dietikon, Zürich, 8952, Schweiz/Suisse/Svizzera/Svizra"
2183,849,Neugasse,as1,Bischofszell,1,at0,FALSE,TRUE,FALSE,rt433,2697324.0,1261875.0,ZH,230,2017,6,aw405,10,47.500422935233594,8.730357909261901,POINT (8.730357909261901 47.50042293523359),1261875.0,2735895.0,10036978.0,"47.500422935233594,8.730357909261901","Stadthaus, Stadthausstrasse, Inneres Lind, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8402, Schweiz/Suisse/Svizzera/Svizra"
2184,850,Neuhaus,as1,Guggisberg,1,at00,FALSE,FALSE,FALSE,rt439,2593599.0,1177800.0,BE,852,2013,4,aw403,16,46.75135541940806,7.354863261843859,POINT (7.354863261843859 46.75135541940806),1177800.0,2591443.0,10191898.0,"46.75135541940806,7.354863261843859","Allmidhütte, 481, Horbühlallmend, Riffenmatt, Guggisberg, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, 3156, Schweiz/Suisse/Svizzera/Svizra"
2185,851,Neuhaus,as1,Rüderswil,1,at5,FALSE,FALSE,FALSE,rt432,2623697.0,1202319.0,BE,903,2017,2,aw402,13,46.971521805574874,7.7500380737004,POINT (7.7500380737004 46.97152180557487),1202319.0,2620508.0,10120683.0,"46.971521805574874,7.7500380737004","48, Langnaustrasse, Neumühle, Lauperswil, Verwaltungskreis Emmental, Verwaltungsregion Emmental-Oberaargau, Bern/Berne, 3436, Schweiz/Suisse/Svizzera/Svizra"
2186,852,Neuheim,as1,Kirchberg (SG),1,at8,TRUE,FALSE,FALSE,rt432,2683605.0,1251521.0,ZH,261,2013,6,aw404,16,47.40919616359203,8.546358617461054,POINT (8.546358617461054 47.40919616359203),1251521.0,2722600.0,10115732.0,"47.40919616359203,8.546358617461054","343, Schaffhauserstrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra"
2187,853,Neuhus,as1,Küsnacht (ZH),1,at0,FALSE,FALSE,TRUE,rt432,2620419.0,1241531.0,SO,2422,2016,8,aw405,20,47.32433228444487,7.708730633744703,POINT (7.708730633744703 47.32433228444487),1241531.0,2690867.0,10001525.0,"47.32433228444487,7.708730633744703","5, Lobiseystrasse, Balsthal, Bezirk Thal, Amtei Thal-Gäu, Solothurn, 4710, Schweiz/Suisse/Svizzera/Svizra"
